ID;Tweet;URL;label
1,85809E+18;No lo llaméis DANA, llamadlo Gota Fría provocada por estos hijoputas.;https://x.com/makucasado/status/1858092822391382519;1
1,85461E+18;"??Una cadena viral que circula en #Cuba alerta que al abrir un supuesto archivo de fotos de un #derrumbe en #LaHabana te ""roban el saldo del ??en 10 seg”. Se trata de un bulo reciclado??Similar engaño circula en #España tras #DANA. ??
https://t.co/6VoEIpa0xi";https://x.com/MartiVeriCuba/status/1854608636401582528;0
1,85165E+18;Desinformación de la #DANA: del bulo del teléfono de emergencias alternativo al falso fallo del radar de la AEMET https://t.co/liiokWYUkl vía @rtve;https://x.com/SguilleH/status/1851650761395929277;0
1,85242E+18;@diasasaigonados Daniel, hay otro punto muy importante que no has incluido: Mazón, además de no elevar a 3 el nivel de alerta, afirmó ante los medios y ENGAÑÓ a la población diciendo que la Dana mejoraría a partir de las 18, lo que agravó la situación, pues la AEMET mantenía la alerta roja.;https://x.com/petronio642/status/1852424913316937836;0
1,8592E+18;"#FelizMiercoles Valencia #Albacete
@larazon_es de @pacomarhuenda intenta tapar la incompetencia y corrupción del equipo de Carlos Mazón en la gestión de la DANA. Siempre al servicio de la desinformación del corrupto @ppopular @PrensaCE AEMET @fape_fape @CGPeriodistas @apeuropeos";https://x.com/EglgAb/status/1859197730469331262;0
1,85453E+18;?????????l’enganyifa de Quiles y Alvise Pérez sobre el llençar a la deixalleria la roba donada als afectats de la DANA  https://t.co/kuKxRhdpzu;https://x.com/RosaCB12/status/1854528575841419359;0
1,85914E+18;La dana y el diluvio de mentiras https://t.co/6YSASwouJC;https://x.com/nonchesei/status/1859144526675206196;0
1,85497E+18;"Esto es otra burda mentira: 

la gente se quedó en sus casas y no se acercó a los ríos ni barrancos

 y se murió ahogada 

porque el agua venía de las presas abiertas y de las presas DESTRUIDAS POR TERESA RIBERA. 

Ni media lección de esta gente @ppopular";https://x.com/MartiaFG/status/1854968544091312349;1
1,85915E+18;"@LaHoraTVE @cucagamarra leyendo todas las MENTIRAS q le pone el papel @cucagamarra y @ppopular ""jugando""asquerosamente con la Dana para ir contra @GobiernoEs ,deja caer el Bulo q algo queda, DAIS MUCHA VERGÜENZA @NunezFeijoo";https://x.com/Margotina1964/status/1859147625330585932;0
1,85951E+18;Rubén Gisbert vuelve a intentar monetizar la tragedia de la DANA con el bulo de que el Gobierno oculta el número real de muertos https://t.co/c72zOD1NB6 a través de @eldiariocv;https://x.com/Pedro3623685247/status/1859512193194090669;0
1,8594E+18;¿Por qué nos creemos las noticias falsas? Desinformación en crisis como la dana https://t.co/MYNwklQUnw a través de @Conversation_E;https://x.com/411emilio/status/1859404803857924394;0
1,85842E+18;"Cómo internet puede oscurecer aún más una tragedia si se usa mal: desinformación, redes sociales, influencers, inteligencia artificial #IA y timos en la DANA en España.

No todo es malo, claro; tu móvil te puede ayudar durante una situación de emergencia??
https://t.co/rYSA8zSd9P";https://x.com/MalditaTech/status/1858424655851536852;0
